geography_type,geography_name,year,animal,count
Region,Chatham Islands,2012,Beef cattle,NA
Region,Chatham Islands,2013,Beef cattle,10050
Region,Chatham Islands,2014,Beef cattle,9926
Region,Chatham Islands,2015,Beef cattle,10462
Region,Chatham Islands,2016,Beef cattle,NA
Region,Chatham Islands,2017,Beef cattle,11299
Region,Chatham Islands,2018,Beef cattle,NA
Region,Chatham Islands,2019,Beef cattle,NA
Region,Gisborne,1990,Beef cattle,325936
Region,Gisborne,1991,Beef cattle,333294
Region,Gisborne,1992,Beef cattle,342974
Region,Gisborne,1993,Beef cattle,336584
Region,Gisborne,1994,Beef cattle,351384
Region,Gisborne,1995,Beef cattle,363858
Region,Gisborne,1996,Beef cattle,363676
Region,Gisborne,1997,Beef cattle,NA
Region,Gisborne,1998,Beef cattle,NA
Region,Gisborne,1999,Beef cattle,280676
Region,Gisborne,2000,Beef cattle,NA
Region,Gisborne,2001,Beef cattle,NA
Region,Gisborne,2002,Beef cattle,309823
Region,Gisborne,2003,Beef cattle,349913
Region,Gisborne,2004,Beef cattle,341676
Region,Gisborne,2005,Beef cattle,300670
Region,Gisborne,2006,Beef cattle,305050
Region,Gisborne,2007,Beef cattle,287296
Region,Gisborne,2008,Beef cattle,287079
Region,Gisborne,2009,Beef cattle,249657
Region,Gisborne,2010,Beef cattle,262073
Region,Gisborne,2011,Beef cattle,272017
Region,Gisborne,2012,Beef cattle,267599
Region,Gisborne,2013,Beef cattle,260456
Region,Gisborne,2014,Beef cattle,277484
Region,Gisborne,2015,Beef cattle,244826
Region,Gisborne,2016,Beef cattle,243273
Region,Gisborne,2017,Beef cattle,247238
Region,Gisborne,2018,Beef cattle,261384
Region,Gisborne,2019,Beef cattle,254428
Region,Hawke's Bay,1990,Beef cattle,427474
Region,Hawke's Bay,1991,Beef cattle,449307
Region,Hawke's Bay,1992,Beef cattle,478106
Region,Hawke's Bay,1993,Beef cattle,518074
Region,Hawke's Bay,1994,Beef cattle,522767
Region,Hawke's Bay,1995,Beef cattle,528187
Region,Hawke's Bay,1996,Beef cattle,523865
Region,Hawke's Bay,1997,Beef cattle,NA
Region,Hawke's Bay,1998,Beef cattle,NA
Region,Hawke's Bay,1999,Beef cattle,542003
Region,Hawke's Bay,2000,Beef cattle,NA
Region,Hawke's Bay,2001,Beef cattle,NA
Region,Hawke's Bay,2002,Beef cattle,555989
Region,Hawke's Bay,2003,Beef cattle,574403
Region,Hawke's Bay,2004,Beef cattle,612870
Region,Hawke's Bay,2005,Beef cattle,528513
Region,Hawke's Bay,2006,Beef cattle,528809
Region,Hawke's Bay,2007,Beef cattle,438366
Region,Hawke's Bay,2008,Beef cattle,493393
Region,Hawke's Bay,2009,Beef cattle,436207
Region,Hawke's Bay,2010,Beef cattle,454204
Region,Hawke's Bay,2011,Beef cattle,488087
Region,Hawke's Bay,2012,Beef cattle,471010
Region,Hawke's Bay,2013,Beef cattle,433768
Region,Hawke's Bay,2014,Beef cattle,441575
Region,Hawke's Bay,2015,Beef cattle,441919
Region,Hawke's Bay,2016,Beef cattle,434837
Region,Hawke's Bay,2017,Beef cattle,421163
Region,Hawke's Bay,2018,Beef cattle,428528
Region,Hawke's Bay,2019,Beef cattle,448764
Region,Manawatu-Whanganui,1990,Beef cattle,727996
Region,Manawatu-Whanganui,1991,Beef cattle,734107
Region,Manawatu-Whanganui,1992,Beef cattle,746035
Region,Manawatu-Whanganui,1993,Beef cattle,749512
Region,Manawatu-Whanganui,1994,Beef cattle,824881
Region,Manawatu-Whanganui,1995,Beef cattle,857170
Region,Manawatu-Whanganui,1996,Beef cattle,782984
Region,Manawatu-Whanganui,1997,Beef cattle,NA
Region,Manawatu-Whanganui,1998,Beef cattle,NA
Region,Manawatu-Whanganui,1999,Beef cattle,751898
Region,Manawatu-Whanganui,2000,Beef cattle,NA
Region,Manawatu-Whanganui,2001,Beef cattle,NA
Region,Manawatu-Whanganui,2002,Beef cattle,726306
Region,Manawatu-Whanganui,2003,Beef cattle,699264
Region,Manawatu-Whanganui,2004,Beef cattle,641607
Region,Manawatu-Whanganui,2005,Beef cattle,696501
Region,Manawatu-Whanganui,2006,Beef cattle,701871
Region,Manawatu-Whanganui,2007,Beef cattle,680960
Region,Manawatu-Whanganui,2008,Beef cattle,583129
Region,Manawatu-Whanganui,2009,Beef cattle,609701
Region,Manawatu-Whanganui,2010,Beef cattle,626533
Region,Manawatu-Whanganui,2011,Beef cattle,593632
Region,Manawatu-Whanganui,2012,Beef cattle,579565
Region,Manawatu-Whanganui,2013,Beef cattle,570144
Region,Manawatu-Whanganui,2014,Beef cattle,580988
Region,Manawatu-Whanganui,2015,Beef cattle,567333
Region,Manawatu-Whanganui,2016,Beef cattle,543526
Region,Manawatu-Whanganui,2017,Beef cattle,567856
Region,Manawatu-Whanganui,2018,Beef cattle,554018
Region,Manawatu-Whanganui,2019,Beef cattle,574889
Region,Marlborough,1990,Beef cattle,NA
Region,Marlborough,1991,Beef cattle,NA
Region,Marlborough,1992,Beef cattle,NA
Region,Marlborough,1993,Beef cattle,63569
Region,Marlborough,1994,Beef cattle,74456
